Time	accX	accY	accZ	spinSpeed
2025-03-19 15:03:35.609	39.000	1005.000	6.000	NaN
2025-03-19 15:03:35.609	40.000	1006.000	7.000	NaN
2025-03-19 15:03:35.609	39.000	1005.000	7.000	NaN
2025-03-19 15:03:35.609	40.000	1004.000	7.000	NaN
2025-03-19 15:03:35.610	40.000	1002.000	8.000	NaN
2025-03-19 15:03:35.610	40.000	1002.000	8.000	NaN
2025-03-19 15:03:35.610	39.000	1002.000	10.000	NaN
2025-03-19 15:03:35.610	38.000	1002.000	8.000	NaN
2025-03-19 15:03:35.610	38.000	1002.000	6.000	NaN
2025-03-19 15:03:35.611	37.000	1002.000	6.000	NaN
2025-03-19 15:03:35.611	36.000	1000.000	5.000	NaN
2025-03-19 15:03:35.611	36.000	1000.000	4.000	NaN
2025-03-19 15:03:35.611	35.000	1001.000	6.000	NaN
2025-03-19 15:03:35.611	35.000	1001.000	6.000	NaN
2025-03-19 15:03:35.611	36.000	1002.000	6.000	NaN
2025-03-19 15:03:35.612	37.000	1001.000	6.000	NaN
2025-03-19 15:03:35.612	38.000	1002.000	7.000	NaN
2025-03-19 15:03:35.612	39.000	1004.000	5.000	NaN
2025-03-19 15:03:35.612	39.000	1003.000	4.000	NaN
2025-03-19 15:03:35.612	38.000	1001.000	5.000	NaN
2025-03-19 15:03:35.613	38.000	1001.000	5.000	NaN
2025-03-19 15:03:35.613	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.613	41.000	1001.000	4.000	NaN
2025-03-19 15:03:35.613	42.000	1001.000	5.000	NaN
2025-03-19 15:03:35.613	42.000	998.000	4.000	NaN
2025-03-19 15:03:35.613	42.000	998.000	5.000	NaN
2025-03-19 15:03:35.614	41.000	999.000	5.000	NaN
2025-03-19 15:03:35.614	41.000	999.000	5.000	NaN
2025-03-19 15:03:35.614	40.000	999.000	6.000	NaN
2025-03-19 15:03:35.614	40.000	999.000	8.000	NaN
2025-03-19 15:03:35.614	40.000	999.000	7.000	NaN
2025-03-19 15:03:35.614	40.000	999.000	6.000	NaN
2025-03-19 15:03:35.615	40.000	1000.000	4.000	NaN
2025-03-19 15:03:35.615	39.000	1000.000	3.000	NaN
2025-03-19 15:03:35.615	39.000	1000.000	3.000	NaN
2025-03-19 15:03:35.615	37.000	1000.000	4.000	NaN
2025-03-19 15:03:35.615	38.000	1000.000	6.000	NaN
2025-03-19 15:03:35.616	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.616	41.000	1002.000	6.000	NaN
2025-03-19 15:03:35.616	41.000	1002.000	6.000	NaN
2025-03-19 15:03:35.616	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.616	40.000	1001.000	5.000	NaN
2025-03-19 15:03:35.616	40.000	1001.000	5.000	NaN
2025-03-19 15:03:35.617	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.617	38.000	998.000	3.000	NaN
2025-03-19 15:03:35.617	38.000	998.000	3.000	NaN
2025-03-19 15:03:35.617	40.000	999.000	1.000	NaN
2025-03-19 15:03:35.617	42.000	1002.000	1.000	NaN
2025-03-19 15:03:35.618	43.000	1003.000	1.000	NaN
2025-03-19 15:03:35.618	43.000	1003.000	1.000	NaN
2025-03-19 15:03:35.618	42.000	1002.000	1.000	NaN
2025-03-19 15:03:35.618	40.000	1002.000	5.000	NaN
2025-03-19 15:03:35.618	40.000	1002.000	6.000	NaN
2025-03-19 15:03:35.619	40.000	1003.000	4.000	NaN
2025-03-19 15:03:35.619	40.000	1003.000	5.000	NaN
2025-03-19 15:03:35.619	38.000	1003.000	6.000	NaN
2025-03-19 15:03:35.619	38.000	1003.000	6.000	NaN
2025-03-19 15:03:35.619	37.000	1003.000	6.000	NaN
2025-03-19 15:03:35.619	37.000	1002.000	6.000	NaN
2025-03-19 15:03:35.620	38.000	1002.000	7.000	NaN
2025-03-19 15:03:35.620	38.000	1003.000	6.000	NaN
2025-03-19 15:03:35.620	39.000	1002.000	5.000	NaN
2025-03-19 15:03:35.620	39.000	1002.000	4.000	NaN
2025-03-19 15:03:35.620	37.000	1003.000	5.000	NaN
2025-03-19 15:03:35.620	37.000	1003.000	5.000	NaN
2025-03-19 15:03:35.621	36.000	999.000	7.000	NaN
2025-03-19 15:03:35.621	37.000	997.000	7.000	NaN
2025-03-19 15:03:35.621	38.000	998.000	6.000	NaN
